3,2,0,20160518,20160519,2021.953456,1895.581365,1832.395319,1769.209274,1769.209274,1832.395319,2021.953456,2401.069729,2748.592979,3001.337161,3127.709252,3159.302275,3127.709252,3159.302275,3159.302275,3064.523206,3032.930184,3032.930184,2938.151115,2906.558093,2906.558093,2938.151115,2748.592979,2274.697638
3,2,0,20160519,20160520,1915.074932,1811.557368,1708.039804,1682.160413,1656.281022,1604.52224,1604.52224,1708.039804,2096.230669,2225.627624,2355.024579,2406.783361,2406.783361,2380.90397,2355.024579,2355.024579,2380.90397,2432.662752,2458.542142,2458.542142,2587.939097,2406.783361,2277.386406,2070.351278
3,2,0,20160520,20160521,1865.332726,1764.50393,1663.675134,1638.467935,1613.260736,1562.846338,1562.846338,1663.675134,2041.783119,2167.819114,2293.855109,2344.269507,2344.269507,2319.062308,2293.855109,2293.855109,2319.062308,2369.476706,2394.683905,2394.683905,2520.7199,2344.269507,2218.233512,2016.57592
3,2,0,20160521,20160522,1945.885768,1824.267907,1763.458977,1702.650047,1702.650047,1763.458977,1945.885768,2310.739349,2645.188466,2888.424187,3010.042047,3040.446512,3010.042047,3040.446512,3040.446512,2949.233117,2918.828652,2918.828652,2827.615256,2797.210791,2797.210791,2827.615256,2645.188466,2189.121489
3,2,0,20160522,20160523,2092.350288,1961.578395,1896.192448,1830.806502,1830.806502,1896.192448,2092.350288,2484.665967,2844.288673,3105.832459,3236.604352,3269.297325,3236.604352,3269.297325,3269.297325,3171.218405,3138.525432,3138.525432,3040.446512,3007.753539,3007.753539,3040.446512,2844.288673,2353.894074
3,2,0,20160523,20160524,2050.503282,1922.346827,1858.268599,1794.190372,1794.190372,1858.268599,2050.503282,2434.972648,2787.402899,3043.715809,3171.872265,3203.911378,3171.872265,3203.911378,3203.911378,3107.794037,3075.754923,3075.754923,2979.637582,2947.598468,2947.598468,2979.637582,2787.402899,2306.816192
3,2,0,20160524,20160525,2008.656276,1883.115259,1820.34475,1757.574242,1757.574242,1820.34475,2008.656276,2385.279328,2730.517126,2981.59916,3107.140178,3138.525432,3107.140178,3138.525432,3138.525432,3044.369669,3012.984415,3012.984415,2918.828652,2887.443397,2887.443397,2918.828652,2730.517126,2259.738311
3,2,0,20160525,20160526,1966.809271,1843.883691,1782.420902,1720.958112,1720.958112,1782.420902,1966.809271,2335.586009,2673.631352,2919.482511,3042.408091,3073.139485,3042.408091,3073.139485,3073.139485,2980.945301,2950.213906,2950.213906,2858.019721,2827.288327,2827.288327,2858.019721,2673.631352,2212.660429
3,2,0,20160526,20160527,1862.845616,1762.151258,1661.4569,1636.283311,1611.109722,1560.762543,1560.762543,1661.4569,2039.060742,2164.928689,2290.796636,2341.143814,2341.143814,2315.970225,2290.796636,2290.796636,2315.970225,2366.317404,2391.490993,2391.490993,2517.35894,2341.143814,2215.275867,2013.887152
3,2,0,20160527,20160528,1814.460015,1716.381096,1618.302176,1593.782446,1569.262716,1520.223256,1520.223256,1618.302176,1986.098125,2108.696775,2231.295424,2280.334884,2280.334884,2255.815154,2231.295424,2231.295424,2255.815154,2304.854614,2329.374344,2329.374344,2451.972994,2280.334884,2157.736234,1961.578395
3,2,0,20160528,20160529,1843.590371,1728.365973,1670.753774,1613.141575,1613.141575,1670.753774,1843.590371,2189.263566,2506.130661,2736.579457,2851.803855,2880.609955,2851.803855,2880.609955,2880.609955,2794.191656,2765.385557,2765.385557,2678.967258,2650.161158,2650.161158,2678.967258,2506.130661,2074.039167
3,2,0,20160529,20160530,1982.355238,1858.458035,1796.509434,1734.560833,1734.560833,1796.509434,1982.355238,2354.046845,2694.764151,2942.558556,3066.455758,3097.430059,3066.455758,3097.430059,3097.430059,3004.507157,2973.532857,2973.532857,2880.609955,2849.635654,2849.635654,2880.609955,2694.764151,2230.149642
